,material_id,formula_pretty
0,mp-1178121,Li(Fe2O3)4
1,mp-1233014,Li(Fe2O3)4
2,mp-1235675,Li(Fe2O3)4
3,mp-1235693,Li(Fe2O3)4
4,mp-1236363,Li(Fe2O3)4
5,mp-758077,Li(Fe2O3)4
6,mp-997515,Li(Fe2O3)4
7,mp-1178103,Li(FeO2)2
8,mp-1178106,Li(FeO2)2
9,mp-1178108,Li(FeO2)2
10,mp-1178122,Li(FeO2)2
11,mp-25386,Li(FeO2)2
12,mp-752935,Li(FeO2)2
13,mp-754803,Li(FeO2)2
14,mp-771057,Li(FeO2)2
15,mp-771135,Li(FeO2)2
16,mp-771571,Li(FeO2)2
17,mp-773043,Li(FeO2)2
18,mp-752527,Li(FeO2)3
19,mp-753154,Li(FeO2)3
20,mp-758249,Li(FeO2)3
21,mp-1235270,Li(FeO2)8
22,mp-1236025,Li(FeO2)8
23,mp-29324,Li(Mo4O5)2
24,mp-25387,Li(MoO2)2
25,mp-25576,Li(MoO2)2
26,mp-636380,Li(MoO2)2
27,mp-1212055,Li(MoO2)3
28,mp-29508,Li(MoO3)3
29,mp-1045516,Li(NiO2)2
30,mp-1172967,Li(NiO2)2
31,mp-1314210,Li(NiO2)2
32,mp-1396571,Li(NiO2)2
33,mp-25388,Li(NiO2)2
34,mp-504102,Li(NiO2)2
35,mp-752531,Li(NiO2)2
36,mp-754917,Li(NiO2)2
37,mp-755045,Li(NiO2)2
38,mp-774941,Li(NiO2)2
39,mp-1222821,Li(NiO2)3
40,mp-1045572,Li(NiO2)4
41,mp-1222991,Li(NiO2)5
42,mp-685404,Li10Fe21O32
43,mp-530628,Li10Mn21O48
44,mp-531323,Li10Mn23O48
45,mp-1185196,Li10Ni4O9
46,mp-761137,Li10Ti3Mn5O16
47,mp-849463,Li11(FeO3)4
48,mp-1223041,Li11(MoO2)12
49,mp-38676,Li11(NiO2)12
50,mp-769472,Li11(NiO4)2
51,mp-1178085,Li11Fe5(OF11)2
52,mp-674422,Li11Mn11O26
53,mp-531021,Li11Mn13O32
