material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom
mp-774082,Li(CoO2)2,56,P2_1,-1.504019697
mp-530277,Li10Co11O21,84,P-1,-1.694866374
mp-1185179,Li10Co4O9,46,P4_2/nmc,-1.773019753
mp-769567,Li10Ti11Cr9O40,70,P-1,-2.921829783
mp-769483,Li11(CoO4)2,42,C222_1,-1.911476091
mp-757395,Li11(RuO3)8,43,P1,-1.723523984
mp-531078,Li13Co11O24,96,P2_1/c,-1.736836792
mp-766887,Li13Co15O28,56,P-1,-1.6173987
mp-777836,Li14Co13O28,55,P-1,-1.703502215
mp-543091,Li16(CoO4)3,62,P1,-1.910045747
mp-1172980,Li17(CoO4)3,64,P1,-1.920597882
mp-532301,Li20(CoO2)21,83,P-1,-1.717038068
mp-685270,Li20Co21O40,81,I-4,-1.664911499
mp-850954,Li21(CoO4)4,82,Pc,-1.89093755
mp-778889,Li24Ti11CrO36,72,C2,-2.916205109
mp-768397,Li24Ti5Cr7O36,72,P1,-2.540866447
mp-771282,Li24Ti7Cr5O36,72,P1,-2.664230907
mp-1178068,Li24TiCr11O36,72,C2,-2.292969774
mp-770678,Li2Cr2O7,44,P2_1/c,-1.869158294
mp-770390,Li2Cr4O13,76,P2_1/c,-1.727545546
mp-772650,Li2Cr5O12,76,Pbcn,-1.984590196
mp-17159,Li2CrO4,42,R-3,-2.085815476
mp-1177919,Li2Mn3NiO8,56,P2_1,-1.894660363
mp-774906,Li2MnNi3O8,56,P1,-1.44596687
mp-758062,Li2NbCo3O8,56,P4_332,-1.955367055
mp-775164,Li2NbCr3O8,56,P4_332,-2.556869939
mp-757277,Li2Ti2CoO6,44,Cmce,-2.736133254
mp-1662153,Li2Ti3CoO8,56,Pmc2_1,-2.92294621
mp-756280,Li2Ti3CrO8,56,R-3m,-3.061923764
mp-1177861,Li2TiCo3O8,56,P1,-1.914301674
mp-1178000,Li2TiCr3O8,56,C222_1,-2.564981592
mp-1210963,Li2Zn2(MoO4)3,76,Pnma,-2.036678279
mp-777154,Li32Ti11Cr5O48,96,C2,-2.735726601
mp-778621,Li32Ti3Cr13O48,96,P1,-2.371456069
mp-777532,Li32Ti5Cr11O48,96,C2,-2.451844144
mp-757535,Li35(RuO4)12,95,C2,-1.921258539
mp-770728,Li3CrO4,48,P2,-2.103532293
mp-758709,Li3Mn5(NiO6)2,66,P1,-1.864427853
mp-755780,Li3Nb2CrO6,48,C2/m,-2.502707673
mp-756972,Li3Ti2CrO6,48,C2/m,-2.759480563
mp-772982,Li3Ti6Co3O16,56,P2_1,-2.862402834
mp-1177487,Li47(CoO4)8,87,P1,-1.913837475
mp-759373,Li4Co13O28,45,P1,-1.243164557
mp-758387,Li4Co15O28,47,P-1,-1.327491752
mp-759802,Li4Co5O12,42,P2_1,-1.4495636
mp-771197,Li4Co7O16,54,P2_1,-1.360527792
mp-759349,Li4CoO4,72,Pc,-1.782284354
mp-770826,Li4CrO5,40,P-1,-2.027035595
mp-758487,Li4Mn2Ni5O12,46,P2_1,-1.623556711
mp-758838,Li4Mn5(NiO6)2,46,P2_1,-1.929218531
mp-756524,Li4NbCr5O12,44,C2/m,-2.433659515
mp-774904,Li4Ti(Co4O9)2,62,Pmc2_1,-1.611247567
mp-861696,Li4Ti4Cr5O18,62,Pbam,-2.710281733
mp-767054,Li4Ti4Mn4NiO18,62,Pbam,-2.542854899
mp-1639499,Li4TiCo5O12,44,P1,-1.871602474
mp-1178121,Li(Fe2O3)4,42,P-1,-1.660318134
mp-773043,Li(FeO2)2,56,P1,-1.639795401
mp-774941,Li(NiO2)2,56,P4_332,-1.213934436
mp-530628,Li10Mn21O48,79,C2/m,-1.888600486
mp-531323,Li10Mn23O48,81,Cm,-1.938841662
mp-1223041,Li11(MoO2)12,47,P-1,-1.94150822
mp-38676,Li11(NiO2)12,47,C2/m,-1.438763622
mp-769472,Li11(NiO4)2,42,C2,-1.828003247
mp-531021,Li11Mn13O32,56,C2/m,-2.0280939
mp-779771,Li11Mn6O16,66,P1,-2.109835874
mp-769524,Li11Nb4(Ni3O8)3,48,P1,-2.100535634
mp-758517,Li11Ni13O24,48,C2/m,-1.456841669
mp-760001,Li11Ti12(NiO8)4,59,R32,-2.85321864
mp-771347,Li11Ti4Fe9O32,56,P1,-2.090430908
mp-760216,Li11Ti4Mn12O32,59,C2,-2.379518036
mp-769463,Li11Ti8Fe5O32,56,P1,-2.571333623
mp-774644,Li11V12(CuO4)12,83,C2/m,-1.933934677
mp-758440,Li11V16O32,59,P1,-2.474247781
mp-1199885,Li12Mo5O17,68,P-1,-2.166939873
mp-759703,Li12Ni11O28,51,P1,-1.297307165
mp-759819,Li13Mn17O40,70,C2/m,-2.04318326
mp-530398,Li13Mn21O48,82,Cm,-2.010571703
mp-1653421,Li13Mn2O9,48,P1,-2.017569162
mp-758228,Li13Mn8O24,45,C2,-2.014005349
mp-757347,Li13Ni15O28,56,P-1,-1.466307158
mp-769473,Li13Ni9O22,44,P-1,-1.524937367
mp-777360,Li13V24O52,89,P1,-2.418543263
mp-781016,Li14Fe4O13,62,P2_1/c,-1.922045421
mp-770530,Li14Mn2O9,50,P-3,-2.008010473
mp-705910,Li15(NiO2)14,57,Cm,-1.474656213
mp-760337,Li16Mn15(CuO12)3,70,P1,-1.976798133
mp-757655,Li17Ni11O28,56,P-1,-1.53456924
mp-761629,Li17V16O32,65,Cm,-2.442034112
mp-698842,Li19Ni23O42,84,P-1,-1.462964944
mp-1223171,Li19V12O32,63,Cm,-2.439465242
mp-758726,Li2(NiO2)3,66,P1,-1.275052628
mp-769519,Li21(FeO4)4,41,C2,-1.997100936
mp-530102,Li21Mo11O32,64,C2/m,-2.107897895
mp-705828,Li23Ni17O40,80,P-1,-1.513393262
mp-772934,Li2Fe3CuO8,56,P2_13,-1.495597212
mp-773062,Li2Mn3CuO8,56,P1,-1.863248784
mp-774515,Li2Mn3NbO8,56,P4_332,-2.308295021
mp-758273,Li2Mn3O6,44,P1,-2.01668725
mp-704943,Li2Mn3ZnO8,56,P2_13,-2.015644155
mp-849474,Li2Mn5(CuO6)2,42,P2_1,-1.734570196
mp-758656,Li2Mn7O12,42,P2_1,-2.002404913
mp-760025,Li2MnCu3O8,56,P4_332,-1.348324027
mp-27222,Li2Mo4O13,57,P-1,-2.041769997
mp-1223324,Li2MoO3,48,P-1,-2.134107963
mp-18050,Li2MoO4,42,R-3,-2.270608245
mp-759780,Li2Nb6NiO18,54,P1,-2.672112705
mp-760364,Li2NbFe3O8,56,P4_332,-2.157033522
mp-772854,Li2NbV3O8,56,P4_332,-2.640247679
mp-758979,Li2Ti2Mn5O12,42,P2_1,-2.422325811
