,battery_formula,battery_id,charge_id,discharge_id
0,Li1-2CoNiO4,mp-753047_Li,mp-754509,mp-753536
1,Li0-1In2CuSe4,mp-1078168_Li,mp-1078168,mp-1079491
2,Li2-4CoNi3O8,mp-757871_Li,mp-1178027,mp-867640
3,Li0-4Fe3Cu(PO4)4,mp-775191_Li,mp-775191,mp-1177485
4,Li0-1FeCuS2,mp-753211_Li,mp-753211,mp-755288
5,Li2-5Cr3NiO8,mp-759984_Li,mp-772613,mp-759984
6,Li1-3VCrP2(HO5)2,mp-801332_Li,mp-801332,mp-802414
7,Li0-2Fe2Cu(PO4)3,mp-761114_Li,mp-775240,mp-761114
8,Li4-5Cr2Ni5O12,mp-774237_Li,mp-780469,mp-774237
9,Li8-1CoNi9O20,mp-769507_Li,mp-1176867,mp-769507
10,Li0-4FeCu3(PO4)4,mp-775297_Li,mp-775297,mp-1177402
11,Li1-3VCrP2(HO5)2,mp-1374975_Li,mp-1386193,mp-1374975
12,Li0-1.5V3Fe2CuO12,mp-807977_Li,mp-807992,mp-807977
13,Li0-0.5CrS2,mp-1045358_Li,mp-1442954,mp-1045358
14,Li0-2MnV4CuO12,mp-754799_Li,mp-754799,mp-774824
15,Li3-4CrNi3O8,mp-755220_Li,mp-755220,mp-757137
16,Li0-4MnCu3(PO4)4,mp-753744_Li,mp-775168,mp-753744
17,Li3-4FeCu3O8,mp-756375_Li,mp-771350,mp-756375
18,Li0-4Cu3Sb(PO4)4,mp-762224_Li,mp-780043,mp-762224
19,Li0-2V2Cu(PO4)3,mp-757397_Li,mp-757397,mp-759398
20,Li4-5Fe2Cu3O10,mp-771233_Li,mp-849416,mp-771233
21,Li2-3Fe(CuO3)2,mp-755201_Li,mp-756110,mp-755201
22,Li0-3Cr3(NiO6)2,mp-772885_Li,mp-776211,mp-772885
23,Li1-2Cu(HO)4,mp-759472_Li,mp-759472,mp-769242
24,Li0-1.5V3Fe2CuO12,mp-766078_Li,mp-773088,mp-772865
25,Li0-4Mn5Cu(PO4)6,mp-773506_Li,mp-773506,mp-1177362
26,Li0-4V3Cu(PO4)4,mp-775334_Li,mp-775334,mp-1177267
27,Li0-2V4CuNiO12,mp-756167_Li,mp-756167,mp-1177805
28,Li0-2CuSb(PO4)2,mp-755148_Li,mp-755148,mp-772561
29,Li3-5Mn2Fe(BO3)4,mp-766489_Li,mp-766489,mp-766508
30,Li0-4Mn3CuNi2(PO4)6,mp-772496_Li,mp-772496,mp-775323
31,Li0-1Ti3Nb(CuO4)3,mp-757045_Li,mp-757045,mp-849772
32,Li0-2V2Cr(PO4)3,mp-771696_Li,mp-771696,mp-1177840
33,Li0-6VCr3(PO4)6,mp-774402_Li,mp-774402,mp-1176888
34,Li0-1Ho2Cu(SiO3)4,mp-1212369_Li,mp-1212369,mp-1235332
35,Li1.33-2CoNiO4,mp-753276_Li,mp-777850,mp-1276757
36,Li1-1.5FeCuO4,mp-755106_Li,mp-775462,mp-781767
37,Li0-1CrS2,mp-4226_Li,mp-755263,mp-4226
38,Li3-4Cr3NiO8,mp-754314_Li,mp-756615,mp-1290930
39,Li1-2CrNiO4,mp-756976_Li,mp-768708,mp-762507
40,Li0-4Mn3Cu3(TeO8)2,mp-757393_Li,mp-758477,mp-757393
41,Li0-6V3Cr(PO4)6,mp-757469_Li,mp-775008,mp-757469
42,Li3-4Cr3NiO8,mp-754209_Li,mp-768676,mp-754209
43,Li2-5Cr3NiO8,mp-759272_Li,mp-1178044,mp-759272
44,Li0-2MnCu(PO4)2,mp-765574_Li,mp-775025,mp-765574
45,Li0-1V2CoO6,mp-1387639_Li,mp-1387639,mp-1388676
46,Li0-4TiCu3(PO4)4,mp-760136_Li,mp-1101275,mp-1177279
47,Li0-1VCoO4,mp-753926_Li,mp-756413,mp-753926
48,Li0-2V5CoO12,mp-755221_Li,mp-757641,mp-755221
49,Li2-2.75V3CoO8,mp-761141_Li,mp-774950,mp-761141
50,Li5-1CoNi9O20,mp-759912_Li,mp-1120825,mp-759912
51,Li2-4Fe3CuO8,mp-753104_Li,mp-755351,mp-753104
52,Li1-4V3CoO10,mp-754313_Li,mp-754313,mp-759134
53,Li2-3CuSbO5,mp-753557_Li,mp-753557,mp-767395
54,Li0-4Ti3Cu3(TeO8)2,mp-758259_Li,mp-760579,mp-758259
55,Li0-6V3Cu(PO4)6,mp-774423_Li,mp-774423,mp-1176990
56,Li0-1CuP4(RuO7)2,mp-1213434_Li,mp-1213434,mp-1235071
57,Li0-1V2CoO6,mp-755979_Li,mp-755979,mp-761801
58,Li0-2VCu(PO4)2,mp-755025_Li,mp-755025,mp-757133
59,Li0-2V3CoO8,mp-755017_Li,mp-755017,mp-756121
60,Li0-1VCoO4,mp-753151_Li,mp-771137,mp-753151
61,Li1-2VCoO4,mp-753959_Li,mp-753959,mp-773359
62,Li0-8Mn7Cu(PO4)12,mp-1176532_Li,mp-1176532,mp-1176950
63,Li0-1VCoO4,mp-754522_Li,mp-771308,mp-754522
64,Li4.5-5Cu(HO2)2,mp-769763_Li,mp-781825,mp-769763
65,Li0-0.5Cu(RhO2)2,mp-4409_Li,mp-4409,mp-1235381
66,Li0-1La4CuO8,mp-21496_Li,mp-772213,mp-21496
67,Li3-4V3CoO8,mp-756700_Li,mp-1177534,mp-771356
68,Li0-3Cu(TeO3)4,mp-756573_Li,mp-756573,mp-761021
69,Li0-1La8Cu3O16,mp-774793_Li,mp-776310,mp-774793
70,Li0-1Ta2CuO6,mp-754223_Li,mp-754223,mp-1222423
71,Li3-4CuNi3O8,mp-752986_Li,mp-861850,mp-752986
72,Li0-5Mn3Cu(PO4)4,mp-756349_Li,mp-756349,mp-1177150
73,Li0-2V3CoO8,mp-757296_Li,mp-861494,mp-1177869
74,Li1-3V3(CoO6)2,mp-761188_Li,mp-761188,mp-774919
75,Li0-1La8Cu3O16,mp-1344934_Li,mp-1371146,mp-1344934
76,Li4-5Cu2Ni5O12,mp-754449_Li,mp-849405,mp-754449
77,Li3-4Cu3TeO8,mp-756554_Li,mp-772822,mp-756554
78,Li0-2VCo3O8,mp-752604_Li,mp-752604,mp-757835
79,Li0-0.5DyMn2O4,mp-1096945_Li,mp-1096958,mp-1235635
80,Li2-3Cu2(SO4)3,mp-768553_Li,mp-769636,mp-768553
81,Li3-4MnCu3O8,mp-756390_Li,mp-756390,mp-756491
82,Li1-1.5La7(CuO7)2,mp-774918_Li,mp-775959,mp-774918
83,Li0-0.5DyNbO4,mp-768303_Li,mp-768303,mp-1236234
84,Li0-1TiH6(OF3)2,mp-1208179_Li,mp-1208179,mp-1235748
85,Li0-3VCr(P2O7)2,mp-752491_Li,mp-767779,mp-752491
86,Li0-1La8Cu3O16,mp-888265_Li,mp-888651,mp-888265
87,Li0-8Ti16CuS32,mp-767157_Li,mp-767157,mp-774459
88,Li1-3Mn5(CuO6)2,mp-756860_Li,mp-756860,mp-849464
89,Li1-3V4CuO12,mp-756257_Li,mp-756257,mp-756355
90,Li0-1VFeP2(O4F)2,mp-1405864_Li,mp-1405864,mp-1446650
