,formula,mp-id,crystal system,density,energy above hull,band gap,efermi,is gap direct,theoretical
0,Li7Mn4CoO12,mp-1175256,P1,3.936521933949453,0.059533691354165086,0.7477,2.61398103,False,True
1,Li7Mn5O12,mp-1175344,P-1,3.8474342702816564,0.04805159687500016,0.6739000000000002,2.66474934,False,True
2,Li9Mn2Co5O16,mp-1176207,P1,4.125581991719113,0.12836463218750005,0.0,2.48963663,False,True
3,Li2Si3NiO8,mp-863431,P2_1,2.804621420529194,0.09311123553571043,3.4899000000000004,1.86189273,False,True
4,Li2VSiO5,mp-18860,P4/nmm,3.0637542826084045,0.0,2.3621,2.45856119,False,True
5,Li3Bi(PO4)2,mp-760650,C2/c,4.216147550759737,0.06068815749999956,3.1798,2.05132674,False,True
6,Li9Mn2Co5O16,mp-1175757,C2,4.19949212522354,0.07108757875000027,0.8129999999999997,2.41621231,False,True
7,Li3P3(WO6)2,mp-777465,R-3,4.385319827788272,0.036370962874996415,3.6739,2.03588326,False,True
8,Li2CoP2O7,mp-697726,P-1,3.067370774222684,0.03415897201386908,3.0107999999999997,1.68814826,False,True
9,Li3MnSiCO7,mp-772668,P2_1/m,2.7732029819238817,0.04134151003925535,0.8431000000000002,1.71284333,False,True
10,Li9Mn2Co5O16,mp-1175422,P-1,4.172893706189859,0.08372814187500044,0.5026000000000002,2.3930656,False,True
11,Li3MnCoO5,mp-1173984,P-1,4.004442556050221,0.04906843249998882,1.7259000000000002,1.9155083,False,True
12,Li4Co3OF11,mp-780191,P1,3.473098401618828,0.08151179190789559,0.6618999999999999,-0.37877541,False,True
13,Li3Mn2P2(CO7)2,mp-1177646,P1,2.650843178846821,0.024341368804303265,0.6622,0.52718515,False,True
14,Li9Mn2Co5O16,mp-1175801,P-1,4.263735415148141,0.08765170562500035,0.2620999999999998,3.06834121,False,True
15,Li9Mn2Co5O16,mp-1100625,Cm,4.14360810322101,0.11521073593750053,0.0,2.58219348,False,True
16,Li9Mn2Co5O16,mp-1175847,P1,4.166204027825991,0.08502554187500078,0.48180000000000023,2.43369458,False,True
17,Li35(RuO4)12,mp-757535,C2,4.135587137297532,0.003406417820174923,0.0,2.50544839,False,True
18,Li6Sn3P8O29,mp-776484,P1,3.0851911477697684,0.024979604275368494,2.779,4.55101838,False,True
19,Li5Mn2CoO8,mp-1302354,P-1,3.9370820505714392,0.06044681218750014,0.45599999999999996,2.40372886,False,True
20,Li4Ni2P4H3O16,mp-849272,P1,2.911277119736954,0.053626294738292835,0.0,1.13751513,False,True
21,Li2FePO5,mp-757248,Pmc2_1,3.1855717459328856,0.09130419555555491,2.1583,2.11604977,False,True
22,Li7Mn2(CoO4)3,mp-1175091,Cm,4.079215118560804,0.1223996033333341,0.0,2.74282436,False,True
23,Li7Mn2(CoO4)3,mp-1175024,Cm,4.0832687969561094,0.10822903708333342,0.0,2.93169507,False,True
24,Li3MnV(PO4)3,mp-768564,P1,2.8239311395892597,0.035717758687496826,0.6852999999999998,1.48594961,False,True
25,Li3InO3,mp-27417,P-31c,4.355471117644077,0.010260926071429033,3.034,1.9937852,False,True
26,Li4FeC6ClO21,mp-1182219,P-6c2,1.7861648596486186,0.8002215371212111,0.43189999999999995,-1.04484906,True,True
27,Li3V2(PO4)3,mp-831152,R-3,2.8586681423034483,0.035619689250026454,0.0,2.24607105,False,True
28,Li4MnCo2O7,mp-1174450,P-1,4.10905042484495,0.08855373071428385,0.8820000000000001,3.21973319,False,True
29,Li4MnOF4,mp-760393,I4/m,2.7949503345568334,0.09732169724999817,2.4416,1.93144737,False,True
30,Li6MnCr3(PO4)6,mp-767775,P1,2.9795737576472954,0.046784783749975745,1.036,1.60703815,False,True
31,Li5Fe2P2(CO7)2,mp-768720,P-1,2.74326799794816,0.030522708550006605,1.5793,1.77230291,False,True
32,Li3V2(O2F)2,mp-764424,P1,3.303660535561252,0.06699773306817036,0.6705000000000001,2.73924993,False,True
33,Li12MnCr3P4(CO7)4,mp-1178079,Pm,2.6989100652475595,0.07004504213341267,2.6193000000000004,3.11300078,False,True
34,Li4V3OF11,mp-777267,P1,2.8876288619377073,0.06976215276316378,0.9464,0.60572279,False,True
35,Li2CoH8(CO5)2,mp-770598,C2/c,2.1636983314029576,0.025367861956524074,3.0362,-0.0084451,False,True
36,Li9Mn2Co5O16,mp-1176039,P1,4.181387921440504,0.10553199468750041,0.2947000000000002,2.79377508,False,True
37,Li6MnV3(PO4)6,mp-1176965,Pc,2.9018789982665325,0.05626741551560954,0.0411999999999999,2.19253949,False,True
38,Li9Mn2Co5O16,mp-1100637,Cm,4.136638610735129,0.12901227156250084,0.0,2.88989441,False,True
39,Li5CoOF5,mp-850339,P3m1,2.559361498136748,0.036831308124998685,1.0417999999999998,0.90856149,False,True
40,Li3VP2HO8,mp-755739,P-1,2.9295137734540737,0.04069783304877905,2.8455999999999997,4.0072542,False,True
41,Li4V(PO3)6,mp-758386,C2/c,2.697481750385335,0.07130505281608457,3.0291,3.32241293,True,True
42,Li2Ni(SO4)2,mp-560212,Pbca,3.024109796341968,0.0018033458653841095,4.045400000000001,2.15837252,True,True
43,Li9Mn2Co5O16,mp-1176066,P1,4.182694911408762,0.10736983156250002,0.4068999999999998,2.64802928,False,True
44,Li2FePCO7,mp-1177947,P1,2.7323392993316413,0.017656476979185598,1.7891,0.75796636,False,True
45,Li2MnP3O10,mp-782647,P2_1/c,2.2533305180406336,0.054733106979143464,1.3778,-0.30558636,True,True
46,Li2CrO4,mp-756967,Pmn2_1,2.383615365295378,0.020319052380952662,2.6673999999999998,-1.59145235,False,True
