,material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom,is_stable
0,mp-1178123,Li(CoO2)2,28,Cmc2_1,-1.4301443004761905,False
1,mp-1178332,Li(CoO2)2,56,P1,-1.457210143511905,False
2,mp-1377260,Li(CoO2)2,56,P4_322,-1.4579167622619045,False
3,mp-25383,Li(CoO2)2,56,Fd-3m,-1.4516050590476186,False
4,mp-755386,Li(CoO2)2,28,Pmmn,-1.475349189404762,False
5,mp-758122,Li(CoO2)2,28,Pbcn,-1.4520936083333342,False
6,mp-773076,Li(CoO2)2,56,P4_332,-1.4867665747619045,False
7,mp-774082,Li(CoO2)2,56,P2_1,-1.5040196967261903,True
8,mp-1285961,Li(CoO2)3,20,C2/m,-1.3464256298333326,False
9,mp-1307826,Li(CoO2)3,20,C2/m,-1.3364438613333334,False
10,mp-759301,Li(CoO2)3,20,Cc,-1.3580022998333334,False
11,mp-1282881,Li(CoO2)4,26,C2/m,-1.290192894871795,False
12,mp-1290247,Li(CoO2)4,26,P2/m,-1.2869662360256409,False
13,mp-1305141,Li(CoO2)4,26,C2/m,-1.2496612925641022,False
14,mp-1306886,Li(CoO2)4,26,P2/m,-1.2558142621794877,False
15,mp-758972,Li(CoO2)4,26,R-3m,-1.253005057948718,False
16,mp-780322,Li(CoO2)4,26,R-3m,-1.293472008717948,False
17,mp-674388,Li(CoO2)8,25,P-1,-1.1585293361333333,False
18,mp-1193147,Li(RuO2)2,28,Pnma,-1.5093346354761894,False
19,mp-530277,Li10Co11O21,84,P-1,-1.694866373948412,False
20,mp-1185179,Li10Co4O9,46,P4_2/nmc,-1.7730197532971006,False
21,mp-773128,Li10Co4O9,46,P-1,-1.7478974913405794,False
22,mp-769567,Li10Ti11Cr9O40,70,P-1,-2.9218297829999997,False
23,mp-777402,Li10Ti2Mn3Ni3O16,34,P1,-2.1807850112880325,False
24,mp-769483,Li11(CoO4)2,42,C222_1,-1.911476090793651,False
25,mp-757395,Li11(RuO3)8,43,P1,-1.7235239843410846,False
26,mp-764428,Li12Cr5O16,33,P1,-2.1406850612121207,False
27,mp-531078,Li13Co11O24,96,P2_1/c,-1.7368367923611103,False
28,mp-766887,Li13Co15O28,56,P-1,-1.6173986997023806,False
29,mp-777836,Li14Co13O28,55,P-1,-1.70350221521212,False
30,mp-758530,Li15Cr2O12,29,P1,-2.06236114862069,False
31,mp-543091,Li16(CoO4)3,62,P1,-1.9100457467204288,False
32,mp-1172980,Li17(CoO4)3,64,P1,-1.9205978823958327,False
33,mp-543090,Li17(CoO4)3,64,P2_1,-1.9169609042708329,False
34,mp-768424,Li17(CoO4)4,37,Pm,-1.797505418828829,False
35,mp-754575,Li17Cr2O12,31,P1,-2.074404127311827,False
36,mp-768441,Li19(CoO4)4,39,Pm,-1.8347113372649573,False
37,mp-705847,Li2(CoO2)3,22,P-1,-1.5422357601515144,False
38,mp-758725,Li2(CoO2)3,22,Cc,-1.5684688778787872,False
39,mp-532301,Li20(CoO2)21,83,P-1,-1.717038068092368,False
40,mp-685270,Li20Co21O40,81,I-4,-1.6649114986008229,False
41,mp-705640,Li20Co21O40,81,P1,-1.6850249941563782,False
42,mp-850954,Li21(CoO4)4,82,Pc,-1.8909375504878052,False
43,mp-778889,Li24Ti11CrO36,72,C2,-2.91620510925926,False
44,mp-779092,Li24Ti11CrO36,72,C2,-2.9162081925925936,False
45,mp-779227,Li24Ti11CrO36,72,C2,-2.916083450787037,False
46,mp-779361,Li24Ti11CrO36,72,P1,-2.91632700800926,False
47,mp-779775,Li24Ti11CrO36,72,C2,-2.9158045882870374,False
48,mp-768397,Li24Ti5Cr7O36,72,P1,-2.540866447314814,False
49,mp-768398,Li24Ti5Cr7O36,72,P1,-2.5410013616203693,False
50,mp-768407,Li24Ti5Cr7O36,72,P1,-2.540331264398148,False
51,mp-768408,Li24Ti5Cr7O36,72,P1,-2.5402564777314813,False
52,mp-768421,Li24Ti5Cr7O36,72,P1,-2.538487181203703,False
53,mp-768431,Li24Ti5Cr7O36,72,P1,-2.5407265552314806,False
54,mp-768433,Li24Ti5Cr7O36,72,P1,-2.540086856898147,False
55,mp-768480,Li24Ti5Cr7O36,72,P1,-2.540756854259259,False
56,mp-768532,Li24Ti5Cr7O36,72,P1,-2.5353415078703705,False
57,mp-771365,Li24Ti5Cr7O36,72,P1,-2.5402853253703706,False
58,mp-768391,Li24Ti7Cr5O36,72,P1,-2.664935268657407,False
59,mp-768392,Li24Ti7Cr5O36,72,P1,-2.6650902179629634,False
60,mp-768405,Li24Ti7Cr5O36,72,P1,-2.6643663896296297,False
61,mp-768406,Li24Ti7Cr5O36,72,P1,-2.661941030185185,False
62,mp-768420,Li24Ti7Cr5O36,72,P1,-2.657799322685185,False
63,mp-768430,Li24Ti7Cr5O36,72,P1,-2.6622087811574064,False
64,mp-768449,Li24Ti7Cr5O36,72,P1,-2.6646279919907396,False
65,mp-768475,Li24Ti7Cr5O36,72,P1,-2.6639865751851852,False
66,mp-771282,Li24Ti7Cr5O36,72,P1,-2.664230906712962,False
67,mp-1178068,Li24TiCr11O36,72,C2,-2.2929697739351855,False
68,mp-777351,Li24TiCr11O36,72,C2,-2.2924185897685185,False
69,mp-779077,Li24TiCr11O36,72,P1,-2.295056084768518,False
70,mp-780842,Li24TiCr11O36,72,C2,-2.29180280087963,False
71,mp-760346,Li2Co4OF8,30,P-1,-2.326705046277778,False
72,mp-765686,Li2Co4OF8,30,Cc,-2.3424790016111117,False
73,mp-1173879,Li2CoO3,24,C2/m,-1.7748982956944488,True
74,mp-1290895,Li2CoO3,24,P1,-1.7081644123611106,False
75,mp-1306461,Li2CoO3,24,P-1,-1.7060062569444436,False
76,mp-1314570,Li2CoO3,24,P-1,-1.744939900694444,False
77,mp-760048,Li2CoOF2,24,P4/nmm,-2.4919203398611116,False
78,mp-1318077,Li2CoOF3,28,P1,-2.453208264166666,False
79,mp-754564,Li2CoOF3,28,P4_1,-2.49140631845238,False
80,mp-754749,Li2CoOF3,28,C2/m,-2.494856694523809,False
81,mp-1178024,Li2Cr2O7,22,C2/c,-1.85717073128788,False
82,mp-753892,Li2Cr2O7,22,P-1,-1.855893267424242,False
83,mp-754365,Li2Cr2O7,22,C2/c,-1.8766842635606067,False
84,mp-770678,Li2Cr2O7,44,P2_1/c,-1.8691582935606073,False
85,mp-770745,Li2Cr2O7,44,Cmce,-1.8213866892424255,False
86,mp-770862,Li2Cr2O7,44,P-1,-1.8556452067424245,False
87,mp-770872,Li2Cr2O7,44,P-1,-1.8362364171969703,False
88,mp-770895,Li2Cr2O7,44,P-1,-1.815428348106061,False
89,mp-771091,Li2Cr2O7,44,P4_12_12,-1.8257519242424252,False
90,mp-772272,Li2Cr2O7,44,P2_1/c,-1.801983743560607,False
91,mp-772297,Li2Cr2O7,22,P1,-1.8199270912878789,False
92,mp-772318,Li2Cr2O7,22,P-1,-1.8448958735606065,False
93,mp-772396,Li2Cr2O7,22,P-1,-1.8218397435606073,False
94,mp-772586,Li2Cr2O7,44,P2_1/c,-1.8309175106060616,False
95,mp-772666,Li2Cr2O7,22,P-1,-1.8153806012878795,False
96,mp-753941,Li2Cr3O6,22,Cmce,-2.227996150151515,False
