Symbol;Name;AtomicMass;ElectronConfiguration;Electronegativity;AtomicRadius;IonizationEnergy;ElectronAffinity;OxidationStates;StandardState;MeltingPoint;BoilingPoint;Density;GroupBlock;"YearDiscovered""";"""AtomicNumber"
H;Hydrogen;1.008;1s1;2.2;120;13.598;0.754;+1-1;Gas;13.81;20.28;0.00008988;Nonmetal;"1766""";"""1"
Li;Lithium;7.0;[He]2s1;0.98;182;5.392;0.618;1;Solid;453.65;1615;0.534;Alkalimetal;"1817""";"""3"
Be;Beryllium;9.012;[He]2s2;1.57;153;9.323;;2;Solid;1560;2744;1.85;Alkalineearthmetal;"1798""";"""4"
B;Boron;10.81;[He]2s22p1;2.04;192;8.298;0.277;3;Solid;2348;4273;2.37;Metalloid;"1808""";"""5"
C;Carbon;12.011;[He]2s22p2;2.55;170;11.260;1.263;+4+2-4;Solid;3823;4098;2.267;Nonmetal;"Ancient""";"""6"
N;Nitrogen;14.007;[He]2s22p3;3.04;155;14.534;;+5+4+3+2+1-1-2-3;Gas;63.15;77.36;0.0012506;Nonmetal;"1772""";"""7"
O;Oxygen;15.999;[He]2s22p4;3.44;152;13.618;1.461;-2;Gas;54.36;90.2;0.001429;Nonmetal;"1774""";"""8"
F;Fluorine;18.998;[He]2s22p5;3.98;135;17.423;3.339;-1;Gas;53.53;85.03;0.001696;Halogen;"1670""";"""9"
Na;Sodium;22.989;[Ne]3s1;0.93;227;5.139;0.548;1;Solid;370.95;1156;0.97;Alkalimetal;"1807""";"""11"
Mg;Magnesium;24.305;[Ne]3s2;1.31;173;7.646;;2;Solid;923;1363;1.74;Alkalineearthmetal;"1808""";"""12"
Al;Aluminum;26.981;[Ne]3s23p1;1.61;184;5.986;0.441;3;Solid;933.437;2792;2.70;Post-transitionmetal;"Ancient""";"""13"
Si;Silicon;28.085;[Ne]3s23p2;1.9;210;8.152;1.385;+4+2-4;Solid;1687;3538;2.329;Metalloid;"1854""";"""14"
P;Phosphorus;30.973;[Ne]3s23p3;2.19;180;10.487;0.746;+5+3-3;Solid;317.3;553.65;1.82;Nonmetal;"1669""";"""15"
S;Sulfur;32.07;[Ne]3s23p4;2.58;180;10.360;2.077;+6+4-2;Solid;388.36;717.75;2.067;Nonmetal;"Ancient""";"""16"
Cl;Chlorine;35.45;[Ne]3s23p5;3.16;175;12.968;3.617;+7+5+1-1;Gas;171.65;239.11;0.003214;Halogen;"1774""";"""17"
K;Potassium;39.098;[Ar]4s1;0.82;275;4.341;0.501;1;Solid;336.53;1032;0.89;Alkalimetal;"1807""";"""19"
Ca;Calcium;40.08;[Ar]4s2;1;231;6.113;;2;Solid;1115;1757;1.54;Alkalineearthmetal;"Ancient""";"""20"
Sc;Scandium;44.955;[Ar]4s23d1;1.36;211;6.561;0.188;3;Solid;1814;3109;2.99;Transitionmetal;"1879""";"""21"
Ti;Titanium;47.87;[Ar]4s23d2;1.54;187;6.828;0.079;+4+3+2;Solid;1941;3560;4.5;Transitionmetal;"1791""";"""22"
V;Vanadium;50.941;[Ar]4s23d3;1.63;179;6.746;0.525;+5+4+3+2;Solid;2183;3680;6.0;Transitionmetal;"1801""";"""23"
Cr;Chromium;51.996;[Ar]3d54s1;1.66;189;6.767;0.666;+6+3+2;Solid;2180;2944;7.15;Transitionmetal;"1797""";"""24"
Mn;Manganese;54.938;[Ar]4s23d5;1.55;197;7.434;;+7+4+3+2;Solid;1519;2334;7.3;Transitionmetal;"1774""";"""25"
Fe;Iron;55.84;[Ar]4s23d6;1.83;194;7.902;0.163;+3+2;Solid;1811;3134;7.874;Transitionmetal;"Ancient""";"""26"
Co;Cobalt;58.933;[Ar]4s23d7;1.88;192;7.881;0.661;+3+2;Solid;1768;3200;8.86;Transitionmetal;"1735""";"""27"
Ni;Nickel;58.693;[Ar]4s23d8;1.91;163;7.640;1.156;+3+2;Solid;1728;3186;8.912;Transitionmetal;"1751""";"""28"
Cu;Copper;63.55;[Ar]4s13d10;1.9;140;7.726;1.228;+2+1;Solid;1357.77;2835;8.933;Transitionmetal;"Ancient""";"""29"
Zn;Zinc;65.4;[Ar]4s23d10;1.65;139;9.394;;2;Solid;692.68;1180;7.134;Transitionmetal;"1746""";"""30"
Ga;Gallium;69.72;[Ar]4s23d104p1;1.81;187;5.999;0.3;3;Solid;302.91;2477;5.91;Post-transitionmetal;"1875""";"""31"
Ge;Germanium;72.63;[Ar]4s23d104p2;2.01;211;7.900;1.35;+4+2;Solid;1211.4;3106;5.323;Metalloid;"1886""";"""32"
As;Arsenic;74.921;[Ar]4s23d104p3;2.18;185;9.815;0.81;+5+3-3;Solid;1090;887;5.776;Metalloid;"Ancient""";"""33"
Se;Selenium;78.97;[Ar]4s23d104p4;2.55;190;9.752;2.021;+6+4-2;Solid;493.65;958;4.809;Nonmetal;"1817""";"""34"
Br;Bromine;79.90;[Ar]4s23d104p5;2.96;183;11.814;3.365;+5+1-1;Liquid;265.95;331.95;3.11;Halogen;"1826""";"""35"
